location,city,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours,location_geom,year,month,day,hour
FI00455,Paijanne Tavastia,Finland,no2,5.6150879,2022-05-02 07:00:00+00:00,µg/m³,EEA Finland,1.0,60.9670399995449,25.65489,POINT(60.9670399995449 1),2022,5,2,7
FI00465,Ostrobothnia,Finland,no2,4.9624669,2022-04-15 04:00:00+00:00,µg/m³,EEA Finland,1.0,63.0951499995672,21.61832,POINT(63.0951499995672 1),2022,4,15,4
FR38020,Reunion,France,no2,4.0,2022-05-24 00:00:00+00:00,µg/m³,EEA France,1.0,-21.009739859322,55.2727106111753,POINT(-21.009739859322 1),2022,5,24,0
FR12042,Hautes-Pyrénées,France,no2,4.4,2022-05-23 17:00:00+00:00,µg/m³,EEA France,1.0,43.0969481158716,-0.0388889669648182,POINT(43.0969481158716 1),2022,5,23,17
FR32005,Saône-et-Loire,France,no2,7.9,2022-05-09 18:00:00+00:00,µg/m³,EEA France,1.0,46.6666401423631,4.36666568034079,POINT(46.6666401423631 1),2022,5,9,18
FR34014,Loiret,France,no2,8.5,2022-05-09 08:00:00+00:00,µg/m³,EEA France,1.0,47.9173751802827,1.96625944333933,POINT(47.9173751802827 1),2022,5,9,8
FR06133,Nord,France,no2,1.0,2022-05-19 18:00:00+00:00,µg/m³,EEA France,1.0,50.0922657335736,3.85002659413797,POINT(50.0922657335736 1),2022,5,19,18
FR31006,Gironde,France,no2,15.6,2022-05-11 13:00:00+00:00,µg/m³,EEA France,1.0,44.841389,-0.65,POINT(44.841389 1),2022,5,11,13
FR08616,Gard,France,no2,23.7,2022-05-14 19:00:00+00:00,µg/m³,EEA France,1.0,43.8298582669199,4.36198545771053,POINT(43.8298582669199 1),2022,5,14,19
FR12054,Haute-Garonne,France,no2,26.8,2022-05-04 08:00:00+00:00,µg/m³,EEA France,1.0,43.6430597871857,1.46764954488879,POINT(43.6430597871857 1),2022,5,4,8
FR34024,Indre-et-Loire,France,no2,10.1,2022-05-04 23:00:00+00:00,µg/m³,EEA France,1.0,47.3441490981312,0.653775897476505,POINT(47.3441490981312 1),2022,5,4,23
FR12044,Haute-Garonne,France,no2,13.4,2022-05-10 04:00:00+00:00,µg/m³,EEA France,1.0,43.6340231500052,1.37600341960292,POINT(43.6340231500052 1),2022,5,10,4
FR22014,Moselle,France,no2,9.0,2022-04-27 22:00:00+00:00,µg/m³,EEA France,1.0,49.1953885052283,6.95744289235285,POINT(49.1953885052283 1),2022,4,27,22
FR34014,Loiret,France,no2,4.6,2022-05-15 18:00:00+00:00,µg/m³,EEA France,1.0,47.9173751802827,1.96625944333933,POINT(47.9173751802827 1),2022,5,15,18
FR23123,Mayenne,France,no2,11.4,2022-05-17 02:00:00+00:00,µg/m³,EEA France,1.0,48.0694102184996,-0.767692156970986,POINT(48.0694102184996 1),2022,5,17,2
FR34032,Cher,France,no2,5.9,2022-05-14 22:00:00+00:00,µg/m³,EEA France,1.0,47.0828022774875,2.40532900475843,POINT(47.0828022774875 1),2022,5,14,22
FR04058,Seine-Saint-Denis,France,no2,22.5,2022-05-26 03:00:00+00:00,µg/m³,EEA France,1.0,48.9252654190423,2.35666726581768,POINT(48.9252654190423 1),2022,5,26,3
FR35005,Creuse,France,no2,9.5,2022-04-27 16:00:00+00:00,µg/m³,EEA France,1.0,46.1699762563887,1.86999597749308,POINT(46.1699762563887 1),2022,4,27,16
FR15038,Isère,France,no2,7.6,2022-04-18 20:00:00+00:00,µg/m³,EEA France,1.0,45.1828274824302,5.75309854039233,POINT(45.1828274824302 1),2022,4,18,20
FR30032,Moselle,France,no2,6.7,2022-04-29 16:00:00+00:00,µg/m³,EEA France,1.0,48.6947222254215,6.96527620163037,POINT(48.6947222254215 1),2022,4,29,16
FR36021,Drôme,France,no2,1.1,2022-05-17 18:00:00+00:00,µg/m³,EEA France,1.0,44.5694309830826,5.27896773343405,POINT(44.5694309830826 1),2022,5,17,18
FR28010,Pas-de-Calais,France,no2,4.0,2022-05-03 16:00:00+00:00,µg/m³,EEA France,1.0,50.449166359944,2.90000428226453,POINT(50.449166359944 1),2022,5,3,16
FR33305,Ain,France,no2,5.2,2022-05-15 08:00:00+00:00,µg/m³,EEA France,1.0,46.2116413286108,5.22638933985453,POINT(46.2116413286108 1),2022,5,15,8
FR15013,Isère,France,no2,5.2,2022-05-08 23:00:00+00:00,µg/m³,EEA France,1.0,45.0795264567106,5.72865538151144,POINT(45.0795264567106 1),2022,5,8,23
FR15013,Isère,France,no2,12.5,2022-05-05 12:00:00+00:00,µg/m³,EEA France,1.0,45.0795264567106,5.72865538151144,POINT(45.0795264567106 1),2022,5,5,12
FR12020,Gers,France,no2,0.2,2022-05-17 14:00:00+00:00,µg/m³,EEA France,1.0,43.6302520650036,0.179722345632656,POINT(43.6302520650036 1),2022,5,17,14
FR06133,Nord,France,no2,4.9,2022-05-04 12:00:00+00:00,µg/m³,EEA France,1.0,50.0922657335736,3.85002659413797,POINT(50.0922657335736 1),2022,5,4,12
FR26017,Nièvre,France,no2,12.5,2022-05-18 06:00:00+00:00,µg/m³,EEA France,1.0,46.9966666387206,3.17083735727372,POINT(46.9966666387206 1),2022,5,18,6
FR29439,Loire,France,no2,4.0,2022-05-11 19:00:00+00:00,µg/m³,EEA France,1.0,45.4817833259067,4.42966453121609,POINT(45.4817833259067 1),2022,5,11,19
