location,city,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours,location_geom
Londonderry - Moose,ROCKINGHAM,US,co,0.12,2022-05-12 16:00:00.000000 UTC,ppm,AirNow,1.0,42.862531,-71.38014,POINT(42.862531 1)
Harrisville,Ogden-Clearfield,US,co,0.3,2022-04-21 03:00:00.000000 UTC,ppm,AirNow,1.0,41.302799,-111.988297,POINT(41.302799 1)
ALLEN PARK,Detroit-Warren-Livonia,US,co,0.0,2022-05-02 03:00:00.000000 UTC,ppm,AirNow,1.0,42.2283,-83.2092,POINT(42.2283 1)
Blue Ridge I-70,Kansas City,US,co,0.29,2022-05-15 17:00:00.000000 UTC,ppm,AirNow,1.0,39.047911,-94.450513,POINT(39.047911 1)
Elizabeth Trailer,New York-Northern New Jersey-Long Island,US,co,0.3,2022-05-15 17:00:00.000000 UTC,ppm,AirNow,1.0,40.641441,-74.208366,POINT(40.641441 1)
Laney College,San Francisco-Oakland-Fremont,US,co,0.45,2022-05-24 19:00:00.000000 UTC,ppm,AirNow,1.0,37.793624,-122.263376,POINT(37.793624 1)
NCORE,Miami-Fort Lauderdale-Miami Beach,US,co,0.15,2022-05-09 10:00:00.000000 UTC,ppm,AirNow,1.0,26.054047,-80.257608,POINT(26.054047 1)
Elizabeth Trailer,New York-Northern New Jersey-Long Island,US,co,0.1,2022-05-10 05:00:00.000000 UTC,ppm,AirNow,1.0,40.641441,-74.208366,POINT(40.641441 1)
Bakersfield-Muni,Bakersfield,US,co,0.16,2022-05-04 09:00:00.000000 UTC,ppm,AirNow,1.0,35.3313,-119.0,POINT(35.3313 1)
NEW,PHILADELPHIA,US,co,0.21,2022-05-23 01:00:00.000000 UTC,ppm,AirNow,1.0,39.991389,-75.080833,POINT(39.991389 1)
HAMPTON,Virginia Beach-Norfolk-Newport News,US,co,0.1,2022-05-11 13:00:00.000000 UTC,ppm,AirNow,1.0,37.10373,-76.38702,POINT(37.10373 1)
Buckeye,Phoenix-Mesa-Scottsdale,US,co,0.2,2022-05-10 18:00:00.000000 UTC,ppm,AirNow,1.0,33.37,-112.6207,POINT(33.37 1)
Upland,Riverside-San Bernardino-Ontario,US,co,0.24,2022-05-25 05:00:00.000000 UTC,ppm,AirNow,1.0,34.10366,-117.629096,POINT(34.10366 1)
RUTLAND,Rutland,US,co,0.2,2022-05-19 22:00:00.000000 UTC,ppm,AirNow,1.0,43.608528,-72.98246,POINT(43.608528 1)
Lake Elsinore - W. F,Riverside-San Bernardino-Ontario,US,co,0.16,2022-04-28 01:00:00.000000 UTC,ppm,AirNow,1.0,33.676535,-117.331027,POINT(33.676535 1)
Indpls - I-70 E,Indianapolis,US,co,0.32,2022-05-05 12:00:00.000000 UTC,ppm,AirNow,1.0,39.787933,-86.13088,POINT(39.787933 1)
Seattle-Beacon Hill,Seattle-Tacoma-Bellevue,US,co,0.14,2022-05-11 17:00:00.000000 UTC,ppm,AirNow,1.0,47.568236,-122.308628,POINT(47.568236 1)
Reno4,Reno-Sparks,US,co,0.36,2022-05-05 12:00:00.000000 UTC,ppm,AirNow,1.0,39.521918,-119.795444,POINT(39.521918 1)
Worcester-NAQI,Cape Winelands,ZA,co,0.0,2022-04-27 23:00:00.000000 UTC,ppm,South Africa,1.0,-33.627489,19.468318,POINT(-33.627489 1)
Standerton - MP Province,Gert Sibande,ZA,co,0.452,2022-05-15 03:00:00.000000 UTC,ppm,South Africa,1.0,-26.964112,29.2232,POINT(-26.964112 1)
eMalahleni - SAWS,Nkangala,ZA,co,0.283,2022-04-29 07:00:00.000000 UTC,ppm,South Africa,1.0,-25.877861,29.186472,POINT(-25.877861 1)
Buccleugh-NAQI,City of Johannesburg,ZA,co,3.37,2022-05-11 07:00:00.000000 UTC,ppm,South Africa,1.0,-26.045,28.098889,POINT(-26.045 1)
Thabazimbi,Waterberg,ZA,co,0.358,2022-04-28 01:00:00.000000 UTC,ppm,South Africa,1.0,-24.591058,27.391605,POINT(-24.591058 1)
LV0026A,Riga,LV,o3,59.9512992,2022-05-14 11:00:00.000000 UTC,µg/m³,EEA Latvia,1.0,56.9548469995096,24.104756,POINT(56.9548469995096 1)
AD0944A,Escaldes-Engordany,AD,o3,105.0,2022-05-11 17:00:00.000000 UTC,µg/m³,EEA Andorra,1.0,42.516943999465,1.56525,POINT(42.516943999465 1)
HU0026A,Borsod-Abaúj-Zemplén,HU,o3,38.735225,2022-05-02 04:00:00.000000 UTC,µg/m³,EEA Hungary,1.0,48.2472228994667,20.61640358,POINT(48.2472228994667 1)
MT00005,Msida,MT,o3,96.79943,2022-04-28 17:00:00.000000 UTC,µg/m³,EEA Malta,1.0,35.8958358794896,14.48998642,POINT(35.8958358794896 1)
GR0002A,ΑΤΤΙΚΗ,GR,o3,54.0,2022-04-27 16:00:00.000000 UTC,µg/m³,EEA Greece,1.0,37.97820663,23.72684288,POINT(37.97820663 1)
HR0026A,Zagrebacka,HR,o3,43.0,2022-05-03 18:00:00.000000 UTC,µg/m³,EEA Croatia,1.0,45.7148444091466,16.0682553185743,POINT(45.7148444091466 1)
DK0046A,Syddanmark,DK,o3,86.19,2022-05-05 12:00:00.000000 UTC,µg/m³,EEA Denmark,1.0,55.3963873093883,10.3891959238991,POINT(55.3963873093883 1)
AT9STEF,Wien,AT,o3,105.745,2022-05-10 16:00:00.000000 UTC,µg/m³,EEA Austria,1.0,48.2081499994666,16.3732536111111,POINT(48.2081499994666 1)
AT30202,Niederösterreich,AT,o3,106.955,2022-05-20 14:00:00.000000 UTC,µg/m³,EEA Austria,1.0,48.1061110994664,15.919444444,POINT(48.1061110994664 1)
AT30302,Niederösterreich,AT,o3,54.076,2022-04-29 06:00:00.000000 UTC,µg/m³,EEA Austria,1.0,48.0502779994663,16.675278,POINT(48.0502779994663 1)
AT60151,Steiermark,AT,o3,104.53,2022-04-28 14:00:00.000000 UTC,µg/m³,EEA Austria,1.0,46.8713888883533,15.4958333333333,POINT(46.8713888883533 1)
AT60018,Steiermark,AT,o3,102.585,2022-04-28 14:00:00.000000 UTC,µg/m³,EEA Austria,1.0,47.075833332798,15.4375,POINT(47.075833332798 1)
AT30302,Niederösterreich,AT,o3,93.386,2022-05-21 11:00:00.000000 UTC,µg/m³,EEA Austria,1.0,48.0502779994663,16.675278,POINT(48.0502779994663 1)
AT60118,Steiermark,AT,o3,82.528,2022-05-13 15:00:00.000000 UTC,µg/m³,EEA Austria,1.0,47.1783333327981,14.6766666666667,POINT(47.1783333327981 1)
AT60178,Steiermark,AT,o3,76.844,2022-04-30 23:00:00.000000 UTC,µg/m³,EEA Austria,1.0,47.2157029994648,15.628392,POINT(47.2157029994648 1)
AT4S235,Oberösterreich,AT,o3,100.391,2022-05-05 18:00:00.000000 UTC,µg/m³,EEA Austria,1.0,47.8158549994659,13.720737,POINT(47.8158549994659 1)
AT0ILL1,Burgenland,AT,o3,78.58,2022-04-30 23:00:00.000000 UTC,µg/m³,EEA Austria,1.0,47.7702799994658,16.76639,POINT(47.7702799994658 1)
AT30601,Niederösterreich,AT,o3,126.011,2022-05-16 12:00:00.000000 UTC,µg/m³,EEA Austria,1.0,48.3022229994669,16.320833,POINT(48.3022229994669 1)
AT60195,Steiermark,AT,o3,34.029,2022-05-14 07:00:00.000000 UTC,µg/m³,EEA Austria,1.0,46.8138888883532,15.2127777777778,POINT(46.8138888883532 1)
AT30103,Niederösterreich,AT,o3,111.245,2022-05-14 14:00:00.000000 UTC,µg/m³,EEA Austria,1.0,48.1797222194666,14.86666667,POINT(48.1797222194666 1)
AT10001,Burgenland,AT,o3,75.093,2022-05-06 17:00:00.000000 UTC,µg/m³,EEA Austria,1.0,47.8399999994659,16.52806,POINT(47.8399999994659 1)
AT4S416,Oberösterreich,AT,o3,24.959,2022-05-14 07:00:00.000000 UTC,µg/m³,EEA Austria,1.0,48.2744444434668,14.3147222,POINT(48.2744444434668 1)
Rozelle,Sydney East,AU,o3,0.01,2022-05-05 08:00:00.000000 UTC,ppm,Australia - New South Wales,4.0,-33.8658333,151.1625,POINT(-33.8658333 4)
Springwood,South East Queensland,AU,o3,0.015,2022-05-06 05:00:00.000000 UTC,ppm,Australia - Queensland,1.0,-27.6125,153.1359,POINT(-27.6125 1)
St Marys,Sydney North-west,AU,o3,0.001,2022-04-27 22:00:00.000000 UTC,ppm,Australia - New South Wales,4.0,-33.7972222,150.7658333,POINT(-33.7972222 4)
Deception Bay,South East Queensland,AU,o3,0.024,2022-05-05 11:00:00.000000 UTC,ppm,Australia - Queensland,1.0,-27.4296,153.1581,POINT(-27.4296 1)
Florey,Canberra,AU,o3,0.003,2022-05-08 11:00:00.000000 UTC,ppm,Australia - ACT,1.0,-35.220606,149.043539,POINT(-35.220606 1)
BG0045A,Русе,BG,o3,44.81,2022-04-29 21:00:00.000000 UTC,µg/m³,EEA Bulgaria,1.0,43.851367,25.964086,POINT(43.851367 1)
BG0056A,Бургас,BG,o3,48.67,2022-04-28 22:00:00.000000 UTC,µg/m³,EEA Bulgaria,1.0,42.456622,27.420967,POINT(42.456622 1)
BG0045A,Русе,BG,o3,53.51,2022-05-06 08:00:00.000000 UTC,µg/m³,EEA Bulgaria,1.0,43.851367,25.964086,POINT(43.851367 1)
BG0057A,Велико Търново,BG,o3,4.68,2022-05-19 04:00:00.000000 UTC,µg/m³,EEA Bulgaria,1.0,43.126475,25.691211,POINT(43.126475 1)
BG0051A,Пловдив,BG,o3,51.23,2022-05-09 00:00:00.000000 UTC,µg/m³,EEA Bulgaria,1.0,42.142889,24.765239,POINT(42.142889 1)
S.André-Capuava,Santo André,BR,o3,29.0,2022-04-29 20:00:00.000000 UTC,µg/m³,Sao Paulo CETESB,1.0,-23.6398037,-46.49163677,POINT(-23.6398037 1)
S.André-Capuava,Santo André,BR,o3,66.0,2022-05-14 16:00:00.000000 UTC,µg/m³,Sao Paulo CETESB,1.0,-23.6398037,-46.49163677,POINT(-23.6398037 1)
Presidente Prudente,Presidente Prudente,BR,o3,23.0,2022-05-05 08:00:00.000000 UTC,µg/m³,Sao Paulo CETESB,1.0,-22.11993673,-51.40877707,POINT(-22.11993673 1)
Ibirapuera,São Paulo,BR,o3,37.0,2022-05-05 06:00:00.000000 UTC,µg/m³,Sao Paulo CETESB,1.0,-23.59184199,-46.6606875,POINT(-23.59184199 1)
Campinas-Taquaral,Campinas,BR,o3,17.0,2022-05-12 02:00:00.000000 UTC,µg/m³,Sao Paulo CETESB,1.0,-22.87461894,-47.05897276,POINT(-22.87461894 1)
Jundiaí,Jundiaí,BR,o3,48.0,2022-04-30 15:00:00.000000 UTC,µg/m³,Sao Paulo CETESB,1.0,-23.19200374,-46.89709727,POINT(-23.19200374 1)
Rio Claro-Jd.Guanabara,Rio Claro-Jd.Guanabara,BR,o3,93.0,2022-05-03 19:00:00.000000 UTC,µg/m³,Sao Paulo CETESB,1.0,-22.4390437888794,-47.5814733108556,POINT(-22.4390437888794 1)
Araraquara,Araraquara,BR,o3,95.0,2022-05-05 19:00:00.000000 UTC,µg/m³,Sao Paulo CETESB,1.0,-21.78252215,-48.18583181,POINT(-21.78252215 1)
Piracicaba,Piracicaba,BR,o3,4.0,2022-05-12 02:00:00.000000 UTC,µg/m³,Sao Paulo CETESB,1.0,-22.70122234,-47.64965269,POINT(-22.70122234 1)
FIREHALL-LABRADORCIT,NEWFOUNDLAND,CA,o3,0.061,2022-05-11 11:00:00.000000 UTC,ppm,AirNow,1.0,52.94548,-66.910245,POINT(52.94548 1)
Chatham,ONTARIO,CA,o3,0.047,2022-05-06 21:00:00.000000 UTC,ppm,AirNow,1.0,42.4033,-82.2086,POINT(42.4033 1)
Saint-Jean-Baptiste,N/A,CA,o3,0.046,2022-04-29 19:00:00.000000 UTC,ppm,AirNow,1.0,45.641026,-73.499682,POINT(45.641026 1)
Kensington Park,BRITISH COLUMBIA,CA,o3,0.026,2022-05-16 04:00:00.000000 UTC,ppm,AirNow,1.0,49.2794,-122.9711,POINT(49.2794 1)
